code	name	group
01	select	draw
02	line	draw
03	polyline	draw
04	rectangle	draw
05	circle	draw
06	arc	draw
07	polygon	draw
08	move	modify
09	rotate	modify
10	mirror	modify
11	trim	modify
12	offset	modify
13	fillet	modify
14	extend	modify
15	dimension	annotate
16	text	annotate
17	leader	annotate
18	zoom	view
19	pan	view
20	grid	view
21	snap	view
22	layers	files
23	open	files
24	save	files
25	pdf-import	files
26	dxf-export	files
27	print	system
28	undo	system
29	redo	system
30	settings	system
31	copy	modify
32	scale	modify
33	hatch	annotate
34	block-insert	blocks
35	new	files
36	save-as	files
37	dxf-import	files
38	svg-export	files
39	pdf-export	files
40	fit-view	view
41	color	properties
42	linetype	properties
43	lineweight	properties
44	layout	print
45	recovery	system
46	autosave	system
47	delete	modify
48	block-create	blocks
49	visible	layers
50	lock	layers
